sku,title,description,brand,product_type,gender,age_group,occasion,url_key,categories,created_at,updated_at,variant_count,product_ids,size,color,price,stock_status
10111004,Microfibre Tights,"This is a must have hosiery style for your winter dressing this season. Wear back all season with dresses, shorts and skirts. 70 Denier. Available in the following sizes: One Size (Height: 155cm - 175cm, Hip Size: 85cm - 110cm), S-M (Height: 148cm – 163cm, Hip Size: 85cm - 110cm) and M-L (Height: 155cm - 178cm, Hip Size: 95cm –110cm).",,simple,,,,,"26,224,053",2018-08-21,2025-01-17,5,"69978,89115,90063,284490,284493","00,M-L,M/L,S-M,S/M",black,14.99,
10202501,120D Opaque Footless Tights,,,simple,,,,,"262,226,582,667",2023-01-02,2023-10-26,3,"269012,269015,269018","00,m_l,s_m",black.,16.99,
10202601,120D Opaque Tights,,,simple,,,,,,2018-08-21,2023-10-26,3,"69984,89121,90069","00,M/L,S/M",black,16.99,
10204501,Gel Cushions,Twinkle toes gel cushions offer the perfect support for the balls of your feet when wearing high heels. They can be washed and reused as often as required. 0601!%#&@redorangeyellowpinkgreenpurplewhiteblack,,simple,,,,,"50,245,039",2018-08-22,2025-12-08,1,93746,00,clear,10.0,
10204601,Heel Guards,,,simple,,,,,5378,2019-09-10,2023-10-26,1,246216,00,clear,9999.99,
10258901,Nudi Bra,,,simple,,,,,,2024-09-11,2024-09-11,5,"282410,282413,282416,282419,282422","00,A,B,C,D",nude,34.99,
10331901,Anna 120D Opaque Footless Tights,,,simple,,,,,,2018-08-21,2023-10-26,3,"69987,89124,90072","00,M/L,S/M",black,14.99,
10354001,Stick It Fashion Tape,Stick it double-sided fashion tape comes in a convenient handbag sized dispenser. It can be used to stick fabric to skin or fabric to fabric. 5m roll.,,simple,,,,,"5024,5039,81570,81579",2018-08-22,2025-11-06,1,93749,00,clear,14.99,
10380302,Cassie Cable and Stripe Tights,,,simple,,,,,,2018-08-21,2023-10-26,3,"69990,89127,90075","00,M/L,S/M",navy,16.99,
10380401,Hannah 120D Opaque Tights,,,simple,,,,,,2018-08-21,2023-10-26,3,"69993,89130,90078","00,M/L,S/M",black,14.99,
10479902,Britney Opaque Tights,,,simple,,,,,,2018-08-21,2023-10-26,3,"69996,89133,90081","00,M/L,S/M",wine,19.99,
10957501,Sweet Treats Petit Parfum,,,simple,,,,,"13,2316,2388,2394,2397,2445,2499,2517,2574,3238,3747,3816,3822,3825,3873,3936,3963,3996",2018-08-16,2025-08-18,1,4470,00,vanilla,13.99,
10957506,Sweet Treats Petit Parfum,,,simple,,,,,"2622,2658,4053,4089",2018-08-16,2025-08-18,1,7881,00,caramella,14.99,
10957507,Sweet Treats Petit Parfum,,,simple,,,,,"2622,2658,4053,4089",2018-08-16,2025-08-18,1,7590,00,mimosa & cherry blossom,13.99,
10957508,Sweet Treats Petit Parfum,"Enjoy our 15ml sweet treats with a dreamy, fresh fragrance mixed with a variety of luscious flavourings. This little sweet heart is a hand bag must have. Directions: Apply to pulse points as desired. Avoid Contact with eyes. Discontinue use if irritation occurs.",,simple,,,,,"2622,2658,3238,3747,3816,3822,3825,3873,3963,4020",2025-05-01,2025-08-18,1,297164,00,amber rose,13.99,
11320401,Gel Cushions,,,simple,,,,,,2018-08-22,2023-10-26,1,93752,00,clear,9.99,
11320801,Stick It 5m,,,simple,,,,,,2018-08-22,2023-10-26,1,93755,00,clear,16.99,
11331005,Sweet Treats Petit Parfum,,,simple,,,,,,2018-08-20,2024-08-28,1,59871,00,pomegranate,14.99,
2010258901002,Nudi Bra,,,simple,,,,,,2018-08-16,2023-01-02,1,8412,,nude,29.99,
2010258901606,Nudi Bra,,,simple,,,,,,2018-08-16,2023-01-02,1,9303,,nude,29.99,
2010258901613,Nudi Bra,,,simple,,,,,,2018-08-16,2023-01-02,1,10587,,nude,29.99,
2010258901620,Nudi Bra,,,simple,,,,,,2018-08-16,2023-01-02,1,11649,,nude,29.99,
2010258901637,Nudi Bra,,,simple,,,,,,2018-08-16,2023-01-02,1,12723,,nude,29.99,
2010670401043,Isabel Tie Front Balloon Sleeve Tops,,,simple,,,,,"405,340,564,062",2018-08-20,2023-07-31,1,59820,,fuchsia watercolour print,69.99,
2010670401067,Shapewear Legging,,,simple,,,,,,2018-08-20,2022-10-17,1,60078,,black,34.99,
2010670401081,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-10-22,1,60087,,black,34.99,
2010670401104,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-10-23,1,60735,,black,34.99,
2010670401128,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-09-10,1,60744,,black,34.99,
2010670401142,Shapewear Legging,,,simple,,,,,,2018-08-21,2018-09-10,1,77970,,black,34.99,
2010670401166,Shapewear Legging,,,simple,,,,,,2018-08-21,2018-09-10,1,80346,,black,34.99,
2010670401500,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-09-10,1,61815,,black,34.99,
2010670401517,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-09-10,1,61809,,black,34.99,
2010670401524,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-09-10,1,61701,,black,34.99,
2010670401531,Shapewear Legging,,,simple,,,,,,2018-08-21,2018-09-10,1,87390,,black,34.99,
2010670401548,Shapewear Legging,,,simple,,,,,,2018-08-20,2018-09-10,1,61812,,black,34.99,
2010672016009,Sienna Weave Fringe 23456,,,simple,,,,,,2019-09-03,2021-04-09,1,199515,,velvet mauve,24.99,
2010783530500,Triple Keep Strap Belt,,,simple,,,,,,2019-09-03,2019-09-03,1,196038,,sangria croc,21.99,
2010783530517,Triple Keep Strap Belt,,,simple,,,,,,2019-09-03,2019-09-03,1,196035,,sangria croc,21.99,
